NEWID,INCLASS,FINCBTXM,iTotalExp,iFoodAtHome,iFoodAway,iHousing,otherHousing,iUtilites,iClothingAndBeauty,iTransportation,iHealthcare,iEntertainment,iMiscellaneous,iCharitableAndFamilyGiving,iInsurance,iEducation,iHousingPrinciple
2946443,10,163271.0,82765.6,12480.0,4160.000000000005,28308.0,10411.999999999996,6312.0,0.0,6856.0,12177.600000000002,1660.0,0.0,400.0,0.0,0.0,15324.0
2947223,8,124357.2,43181.60000000002,5720.000000000005,3120.0,7740.0,4660.0,5804.0,1275.9999999999998,4420.0,9017.599999999999,1424.0,0.0,0.0,0.0,0.0,5524.0
2947323,1,16865.2,11598.800000000001,459.9999999999996,632.0000000000005,6000.0,0.0,1676.0,480.0,0.0,1450.8000000000002,132.0,468.0,300.0,0.0,0.0,0.0
2948223,1,269.0,19524.000000000007,4940.000000000005,363.9999999999996,636.0,848.0,10704.0,300.0,360.0,0.0,96.0,36.0,1240.0,0.0,0.0,0.0
2950533,6,82008.6,44964.0,3120.0,1024.0,12696.0,2952.0,6048.0,520.0,6460.0,6099.999999999995,1284.0,0.0,4760.0,0.0,0.0,1528.0
2950583,6,87040.0,57177.6,5720.000000000005,2859.999999999996,6240.0,4416.0,11468.0,1740.0,9116.0,8401.599999999999,5440.0,1476.0,300.0,0.0,0.0,2244.0
2951013,1,18000.0,44182.799999999974,4680.0,2799.999999999996,9840.0,2879.9999999999995,3464.0,1380.0,14800.0,1458.8000000000002,2880.0,0.0,0.0,0.0,0.0,0.0
2951113,2,42096.0,73646.79999999997,6499.9999999999945,2600.000000000004,20719.999999999996,8524.0,3988.0,2284.0,7608.000000000001,17110.800000000003,2048.0,200.0,600.0,1464.0,0.0,6627.999999999999
2951503,2,49366.6,43014.80000000001,3900.0,1820.000000000004,2400.0,12495.999999999996,5052.0,968.0,6784.0,3066.7999999999997,2364.0,563.9999999999995,3600.0,0.0,0.0,168.0
2951843,2,41848.2,11915.999999999998,3099.999999999996,780.0,3000.0,188.0,1632.0,376.0,159.99999999999963,720.0,760.0,0.0,0.0,1200.0,0.0,0.0
2954443,1,29649.6,43994.80000000001,4160.000000000005,6240.0,8100.0,3232.0,5568.0,0.0,7600.0,2734.7999999999997,720.0,0.0,5640.0,0.0,0.0,0.0
2989042,6,81327.0,37627.99999999996,5899.999999999992,1220.0000000000002,10556.0,6735.999999999996,2752.0,260.0000000000004,4584.0,2928.0,2484.0,8.0,0.0,200.0,0.0,2559.9999999999995
2989132,7,92001.0,61815.999999999985,6243.999999999995,5892.0,6072.0,20620.000000000004,3984.0,1480.0,6227.999999999999,3576.0,2276.0,600.0,3140.0,1704.0,0.0,4840.0
2991522,7,103063.6,61756.400000000016,9763.999999999996,3520.0000000000036,7164.0,5992.0,4708.0,3007.999999999999,7520.0,13964.399999999998,5444.0,48.0,624.0,0.0,0.0,2068.0
2991582,5,79996.0,57531.599999999984,5631.999999999995,4876.0,6732.0,9894.000000000004,4872.0,4800.0,6848.0,9757.599999999999,1720.0,0.0,2400.0,0.0,0.0,5808.0
2992062,8,116110.0,50179.999999999985,7267.999999999992,6432.0,15624.0,4380.000000000004,4508.0,639.9999999999995,4500.0,1560.0,3820.0,448.0,1000.0,0.0,0.0,11280.0
2994032,2,43398.0,35377.60000000003,6500.000000000004,1299.999999999996,9600.0,804.0,3844.0,571.9999999999995,4664.0,2761.6000000000004,1528.0,2984.0000000000036,400.0,420.0,0.0,0.0
2994292,4,60244.0,22636.000000000004,4616.000000000005,3639.9999999999964,1884.0,699.9999999999995,1020.0,3744.0,3280.0,2600.000000000004,1152.0,0.0,0.0,0.0,0.0,1064.0
2994822,7,101206.4,108141.60000000002,8040.0,1440.0000000000002,30608.0,26924.0,4652.0,3548.000000000001,13080.0,16437.600000000002,3148.0,192.0,72.0,0.0,0.0,8828.0
2996422,1,32000.0,23648.000000000004,4008.0,780.0,8100.0,619.9999999999999,1240.0,4176.0,1432.0,0.0,3292.0,0.0,0.0,0.0,0.0,0.0
2996582,7,91783.8,52979.99999999998,6020.000000000001,1360.0000000000002,3816.0,5572.000000000004,5376.0,3300.000000000001,14896.000000000002,6236.0,340.0,2064.0,4000.0,0.0,0.0,2536.0
2996792,5,75979.2,34926.799999999996,6812.000000000004,1560.0,3360.0,4700.000000000004,3868.0,320.0000000000004,5116.0,2818.7999999999997,2172.0,0.0,4200.0,0.0,0.0,960.0
2997762,9,135350.2,91044.00000000001,10400.000000000004,2880.0,13008.0,30339.999999999996,10296.0,0.0,5400.0,16800.0,1920.0,0.0,0.0,0.0,0.0,4108.0
2998392,6,81373.0,65186.79999999999,7940.000000000003,5999.999999999996,25248.0,5296.0,2688.0,1180.0000000000002,6056.000000000001,5578.799999999999,3432.0,1768.0,0.0,0.0,0.0,0.0
2998572,1,22369.0,32488.000000000007,3844.000000000005,591.9999999999995,14764.0,4652.000000000004,4360.0,428.0,2796.0,212.0,240.0,84.0,516.0,0.0,0.0,3096.0
2998822,4,66419.0,50474.80000000001,3900.0,2600.000000000004,18768.0,9500.000000000004,5300.0,492.0,6304.0,1910.7999999999993,200.0,0.0,1500.0,0.0,0.0,11972.0
2999902,7,94006.4,49309.60000000001,4184.000000000005,7824.0,12276.0,3696.0,3716.0,980.0000000000005,4068.0,9885.599999999999,1480.0,0.0,1200.0,0.0,0.0,7708.0
2999922,5,78578.2,56312.000000000015,7292.000000000004,600.0,22800.0,7755.999999999996,6556.0,0.0,6720.0,2800.0,1788.0,0.0,0.0,0.0,0.0,4116.0
3001772,3,58699.0,26506.800000000003,2600.000000000004,1299.999999999996,2340.0000000000036,1740.000000000004,3396.0,360.0,1200.0,7954.800000000001,4220.0,1395.999999999996,0.0,0.0,0.0,1436.000000000004
3002692,4,61918.0,49837.6,5460.0,260.0000000000004,18000.0,6200.000000000004,6204.0,0.0,5616.000000000001,6777.599999999999,720.0,0.0,0.0,600.0,0.0,9924.0
3004272,1,32000.0,25536.000000000004,5040.0,1584.0,10320.0,0.0,1440.0,560.0000000000005,3800.0,960.0,1832.0,0.0,0.0,0.0,0.0,0.0
3004312,2,40250.8,49769.59999999998,4083.9999999999964,780.0,8364.0,6392.0,5768.0,1148.0,12024.000000000002,7957.599999999999,1440.0,1572.0,240.0,0.0,0.0,3456.0
3004482,4,66373.4,55291.99999999998,8288.0,6955.999999999996,1200.0,13239.999999999996,2724.0,200.0,9280.0,12360.0,1044.0,0.0,0.0,0.0,0.0,552.0
3004542,7,107054.2,26242.0,4900.0,2479.9999999999964,9600.0,630.0,3620.0,1012.0,200.0,0.0,1060.0,2740.000000000004,0.0,0.0,0.0,3260.0
3006772,1,23823.0,30078.800000000003,10080.0,1040.0000000000005,7236.0,1400.000000000004,5868.0,0.0,2236.0,1258.8000000000002,960.0,0.0,0.0,0.0,0.0,1616.0
3006972,1,7885.0,32058.800000000003,5744.000000000005,2624.000000000004,14880.0,0.0,1140.0,2032.0,1680.0,1978.8000000000002,1320.0,0.0,660.0,0.0,0.0,0.0
3007042,1,32925.4,18338.8,3143.999999999997,24.0,9000.0,0.0,928.0,416.0,1960.0,2506.8,360.0,0.0,0.0,0.0,0.0,0.0
3007702,3,55726.4,47033.599999999984,3099.999999999995,1840.0000000000002,18840.0,3173.9999999999995,3104.0,976.0,3812.0,6913.599999999999,1480.0,174.0,3000.0,620.0,0.0,1520.0
3008502,5,73467.0,65114.80000000002,6240.0,2660.000000000004,17400.0,10260.0,6668.0,4320.000000000005,4772.0,3654.7999999999997,5212.0,1560.0,760.0,1608.0,0.0,0.0
3008652,4,68292.0,31632.000000000004,10620.0,780.0,4452.0,4899.999999999996,4856.0,356.00000000000006,2720.0,207.9999999999996,2320.0,340.0,80.0,0.0,0.0,3036.0
3009782,1,37046.0,64985.6,10400.000000000004,2079.999999999996,14820.0,6751.999999999996,4180.0,3299.999999999999,11988.0,9349.599999999999,456.0,180.0,1480.0,0.0,0.0,5820.0
3010142,7,94303.6,47992.000000000044,6968.000000000004,2600.000000000004,10200.0,0.0,4700.0,4360.0,12444.0,3176.0,2464.0,0.0,1080.0,0.0,0.0,0.0
3048483,1,22424.0,16066.8,1404.0,387.9999999999996,4740.0,100.0,1856.0,200.00000000000006,2712.0,2558.8,0.0,2107.9999999999955,0.0,0.0,0.0,0.0
3049262,1,39173.0,35626.79999999999,3632.0000000000036,1299.999999999996,1719.9999999999995,6815.999999999996,4184.0,1763.9999999999998,2043.9999999999998,6646.799999999999,7292.0,104.00000000000003,0.0,124.0,0.0,1008.0
3049294,1,21854.8,22309.60000000001,2600.000000000004,1040.0000000000005,7800.0,3163.9999999999995,1896.0,1020.0,2028.0,2517.6000000000004,0.0,244.0,0.0,0.0,0.0,0.0
3049412,1,37579.0,58062.79999999998,6239.999999999996,1200.0,6960.0,20556.0,3460.0,868.0,10600.0,4458.8,1800.0,0.0,1920.0,0.0,0.0,1960.0
3049611,8,114198.0,62062.80000000001,8400.0,6680.000000000004,8436.0,17124.000000000004,6140.0,3040.0,4036.0,4178.799999999999,2248.0,400.0,60.0,1320.0,0.0,3600.0
3050244,1,28000.0,27276.0,2600.000000000004,2340.0,8400.0,728.0,5424.0,123.99999999999994,2992.0,3600.0,1068.0,0.0,0.0,0.0,0.0,0.0
3050613,1,34244.0,30169.60000000001,2720.000000000004,2400.0,6936.0,2208.0,5172.0,1516.0,2788.0,2785.6000000000004,384.0,900.0,1920.0,440.0,0.0,2936.0
3052583,1,37470.6,27425.6,7539.999999999996,260.0000000000004,7368.0,240.0,6484.0,48.0,2508.0,2517.6000000000004,96.0,363.9999999999996,0.0,0.0,0.0,960.0
3053253,1,35910.0,30350.800000000003,1280.0000000000002,2079.999999999996,9528.0,2179.9999999999995,5560.0,308.0,2604.0,4030.7999999999997,600.0,1819.9999999999995,360.0,0.0,0.0,8812.0
3053394,1,34178.0,19837.600000000002,2600.000000000004,1299.999999999996,5820.0,276.0,2160.0,472.0,2628.0,4077.5999999999995,504.0,0.0,0.0,0.0,0.0,0.0
3054003,1,18306.0,23608.000000000007,4160.000000000005,519.9999999999995,1868.0,4744.0,6316.0,2224.0000000000005,1728.0,0.0,1008.0,1040.0000000000005,0.0,0.0,0.0,0.0
3055212,1,30291.2,19199.999999999993,3639.999999999999,2499.999999999996,3708.0,0.0,4300.0,240.0,0.0,2079.999999999996,1848.0,884.0000000000005,0.0,0.0,0.0,0.0
3055602,1,39742.0,26521.600000000002,3380.0000000000036,312.0,3600.0,300.0,4452.0,100.0,3384.0,7405.599999999999,932.0,1455.999999999996,1200.0,0.0,0.0,0.0
3055851,2,41430.2,42373.59999999999,4868.000000000005,2691.999999999996,1919.9999999999964,9703.999999999996,3592.0,2040.0,2344.0,7881.6,3332.0,400.0,3600.0,0.0,0.0,1443.999999999996
3056292,2,49354.8,30302.8,5356.0000000000055,2955.9999999999964,7200.0,2900.0000000000005,4000.0,0.0,3400.0,3338.7999999999956,1152.0,0.0,0.0,0.0,0.0,5408.0
3056701,3,57865.0,66629.6,14040.0,3900.0,7116.0,13711.999999999996,3760.0,887.9999999999998,5304.0,11329.599999999999,4144.0,807.9999999999995,900.0,728.0,0.0,3512.0
3056941,4,64866.2,23661.600000000006,4704.0,24.0,6528.0,1839.9999999999995,632.0,412.0000000000004,2880.0,5845.599999999999,796.0,0.0,0.0,0.0,0.0,4260.0
3057663,3,57190.6,34202.0,3900.0,1560.0,7800.0,8822.0,3756.0,0.0,3660.0,2612.0,1932.0,0.0,0.0,160.0,0.0,3528.0
3058093,3,56918.0,26254.000000000004,3200.000000000004,1299.999999999996,4404.0,3522.0,3656.0,1216.0,900.0,5040.0,440.0,2576.0000000000036,0.0,0.0,0.0,868.0
3058461,1,16945.8,32164.0,9099.999999999996,1040.0000000000005,11400.0,384.0,3036.0,600.0,3120.0,2800.0,684.0,0.0,0.0,0.0,0.0,0.0
3058471,1,25407.0,27842.799999999996,5460.0,2079.999999999996,807.9999999999995,6552.0,3032.0,128.00000000000006,4040.0000000000005,2722.7999999999997,2400.0,140.0,480.0,0.0,0.0,0.0
3058772,5,71681.0,47510.79999999997,5919.999999999995,1760.0000000000002,8124.0,18400.0,2700.0,320.0000000000004,7060.0,2506.8,720.0,0.0,0.0,0.0,0.0,6180.0
3059353,3,53300.0,21086.000000000007,1560.0,2600.000000000004,2240.0,3050.0,3204.0,1412.0,1412.0,4060.000000000004,1548.0,0.0,0.0,0.0,0.0,0.0
3059722,5,72737.2,58893.59999999998,7760.000000000004,3051.999999999996,6000.0,1908.0,9620.0,7628.0,12903.999999999998,6037.6,3404.0,0.0,0.0,580.0,0.0,0.0
3061183,6,89516.0,44489.99999999998,2103.999999999996,5223.999999999995,11364.0,6310.0,6720.0,2600.0,1848.0,892.0,2304.0,3432.0,92.0,1600.0,0.0,5220.0
3062501,1,39252.0,20558.800000000003,2340.0000000000036,1560.0,3936.0,1807.9999999999995,3372.0,60.0,4172.0,2542.8,768.0,0.0,0.0,0.0,0.0,3064.0
3065714,2,40414.0,27499.99999999999,3639.9999999999964,2079.999999999996,10620.0,860.0,3272.0,428.0,960.0,1204.0,796.0,3639.9999999999964,0.0,0.0,0.0,0.0
3067114,1,28918.0,21985.600000000006,2600.000000000001,1040.0000000000005,5364.0,980.0,3228.0,188.0,1200.0,4365.599999999999,1760.0,300.0,960.0,0.0,0.0,2536.0
3067411,1,9416.0,66794.79999999999,5399.999999999995,5160.000000000004,9540.0,9892.000000000004,4816.0,2507.9999999999986,7076.0,13046.800000000001,3440.0,1200.0000000000002,3900.0,816.0,0.0,1296.0
3067494,4,65451.4,19867.999999999996,4892.000000000005,2715.999999999996,2844.0,4059.9999999999964,3120.0,0.0,1576.0,0.0,660.0,0.0,0.0,0.0,0.0,1216.0
3068493,4,68743.2,51587.99999999998,5820.0,3919.9999999999964,7800.0,6952.0,5108.0,3648.000000000001,3368.0,5540.0,4016.0,240.0,4960.0,216.0,0.0,896.0
3069214,1,2542.0,38621.600000000006,3900.0,5199.999999999995,12036.0,2595.9999999999995,6400.0,0.0,1600.0000000000002,4917.599999999999,1972.0,0.0,0.0,0.0,0.0,3876.0
3069424,1,29377.0,41494.79999999997,8499.999999999996,519.9999999999995,6600.0,1244.0,5796.0,176.0,11408.000000000004,3690.7999999999997,1740.0,1820.0000000000005,0.0,0.0,0.0,0.0
